"Term","Search","Next","Freq"
"you want to look","you want to","look",5
"you we love you","you we love","you",5
"you were born in","you were born","in",5
"you were on fire","you were on","fire",5
"you were the one","you were the","one",5
"you what to do","you what to","do",5
"you when you get","you when you","get",5
"you will be given","you will be","given",5
"you will be happy","you will be","happy",5
"you will be the","you will be","the",5
"you will find some","you will find","some",5
"you will get an","you will get","an",5
"you will get some","you will get","some",5
"you will never be","you will never","be",5
"you will never know","you will never","know",5
"you will not have","you will not","have",5
"you will not regret","you will not","regret",5
"you will see a","you will see","a",5
"you will see the","you will see","the",5
"you wish you were","you wish you","were",5
"you would be a","you would be","a",5
"you would do that","you would do","that",5
"you would have a","you would have","a",5
"you would have thought","you would have","thought",5
"you would not be","you would not","be",5
"you would think the","you would think","the",5
"you you are so","you you are","so",5
"youd expect from a","youd expect from","a",5
"youd like to be","youd like to","be",5
"youd like to join","youd like to","join",5
"youll be at the","youll be at","the",5
"young enough to be","young enough to","be",5
"your creative juices flowing","your creative juices","flowing",5
"your family and friends","your family and","friends",5
"your favorite thing to","your favorite thing","to",5
"your hard work and","your hard work","and",5
"your hopes and dreams","your hopes and","dreams",5
"your name on it","your name on","it",5
"your new years resolutions","your new years","resolutions",5
"your point of view","your point of","view",5
"your quality of life","your quality of","life",5
"your to do list","your to do","list",5
"your way to the","your way to","the",5
"youre a fan of","youre a fan","of",5
"youre dealing with a","youre dealing with","a",5
"youre doing a great","youre doing a","great",5
"youre just going to","youre just going","to",5
"youre just trying to","youre just trying","to",5
"youre more likely to","youre more likely","to",5
"youre never going to","youre never going","to",5
"youre not following me","youre not following","me",5
"youre on the right","youre on the","right",5
"youre one of my","youre one of","my",5
"youre too young to","youre too young","to",5
"youre welcome and thanks","youre welcome and","thanks",5
"youre welcome have a","youre welcome have","a",5
"yourself life is about","yourself life is","about",5
"yourself with people who","yourself with people","who",5
"youve got a great","youve got a","great",5
"youve got to do","youve got to","do",5
"a b c d","a b c","d",4
"a baby in a","a baby in","a",4
"a bad thing but","a bad thing","but",4
"a bad thing i","a bad thing","i",4
"a bad thing though","a bad thing","though",4
"a bad thing to","a bad thing","to",4
"a bad time to","a bad time","to",4
"a bar of soap","a bar of","soap",4
"a battle of the","a battle of","the",4
"a better chance of","a better chance","of",4
"a better chance to","a better chance","to",4
"a better fit for","a better fit","for",4
"a better job in","a better job","in",4
"a better life for","a better life","for",4
"a better place to","a better place","to",4
"a big bag of","a big bag","of",4
"a big bowl of","a big bowl","of",4
"a big deal about","a big deal","about",4
"a big deal i","a big deal","i",4
"a big deal out","a big deal","out",4
"a big deal when","a big deal","when",4
"a big increase in","a big increase","in",4
"a big part in","a big part","in",4
"a big problem in","a big problem","in",4
"a big proponent of","a big proponent","of",4
"a big shout out","a big shout","out",4
"a bill sponsored by","a bill sponsored","by",4
"a bit but the","a bit but","the",4
"a bit of fun","a bit of","fun",4
"a bit of trouble","a bit of","trouble",4
"a bit worried about","a bit worried","about",4
"a bitch aint one","a bitch aint","one",4
"a blessing in disguise","a blessing in","disguise",4
"a blessing it is","a blessing it","is",4
"a blog post about","a blog post","about",4
"a blog post for","a blog post","for",4
"a body of work","a body of","work",4
"a book or a","a book or","a",4
"a book that will","a book that","will",4
"a book to read","a book to","read",4
"a book written by","a book written","by",4
"a boy or a","a boy or","a",4
"a break from all","a break from","all",4
"a breast cancer survivor","a breast cancer","survivor",4
"a breath of fresh","a breath of","fresh",4
"a brief period of","a brief period","of",4
"a broken bone in","a broken bone","in",4
"a bunch of little","a bunch of","little",4
"a bunch of money","a bunch of","money",4
"a bunch of old","a bunch of","old",4
"a bunch of photos","a bunch of","photos",4
"a bunch of random","a bunch of","random",4
"a busy day at","a busy day","at",4
"a call if you","a call if","you",4
"a call to action","a call to","action",4
"a call to the","a call to","the",4
"a car with a","a car with","a",4
"a case in which","a case in","which",4
"a cautionary tale for","a cautionary tale","for",4
"a celebration of the","a celebration of","the",4
"a certain number of","a certain number","of",4
"a certified financial planner","a certified financial","planner",4
"a chain of events","a chain of","events",4
"a chair at the","a chair at","the",4
"a challenge that is","a challenge that","is",4
"a challenge to the","a challenge to","the",4
"a chance for a","a chance for","a",4
"a chance to advance","a chance to","advance",4
"a chance to make","a chance to","make",4
"a chance to prove","a chance to","prove",4
"a chance to say","a chance to","say",4
"a chance to show","a chance to","show",4
"a chance to tell","a chance to","tell",4
"a chance to visit","a chance to","visit",4
"a child and i","a child and","i",4
"a child of the","a child of","the",4
"a city council meeting","a city council","meeting",4
"a city with a","a city with","a",4
"a cleaner better stronger","a cleaner better","stronger",4
"a clear message to","a clear message","to",4
"a clear picture of","a clear picture","of",4
"a close eye on","a close eye","on",4
"a close friend of","a close friend","of",4
"a colleague of mine","a colleague of","mine",4
"a combination of both","a combination of","both",4
"a common theme in","a common theme","in",4
"a complete lack of","a complete lack","of",4
"a comprehensive book about","a comprehensive book","about",4
"a connection to the","a connection to","the",4
"a considerable amount of","a considerable amount","of",4
"a constitutional right to","a constitutional right","to",4
"a contest to see","a contest to","see",4
"a controlled substance at","a controlled substance","at",4
"a conversation i had","a conversation i","had",4
"a copy of it","a copy of","it",4
"a couple hours of","a couple hours","of",4
"a couple of cards","a couple of","cards",4
"a couple of hits","a couple of","hits",4
"a couple of seconds","a couple of","seconds",4
"a couple of their","a couple of","their",4
"a couple of those","a couple of","those",4
"a couple of very","a couple of","very",4
"a couple weeks and","a couple weeks","and",4
"a creative man is","a creative man","is",4
"a crowd of about","a crowd of","about",4
"a crush on me","a crush on","me",4
"a crush on you","a crush on","you",4
"a culture that has","a culture that","has",4
"a cup of joe","a cup of","joe",4
"a cup of water","a cup of","water",4
"a cure for the","a cure for","the",4
"a cut of the","a cut of","the",4
"a daily basis and","a daily basis","and",4
"a daily basis i","a daily basis","i",4
"a damp paper towel","a damp paper","towel",4
"a day after he","a day after","he",4
"a day days a","a day days","a",4
"a day full of","a day full","of",4
"a day in your","a day in","your",4
"a day of rest","a day of","rest",4
"a day to go","a day to","go",4
"a day you can","a day you","can",4
"a deal on a","a deal on","a",4
"a decade ago and","a decade ago","and",4
"a decade ago the","a decade ago","the",4
"a decade in the","a decade in","the",4
"a decision of the","a decision of","the",4
"a deeper sense of","a deeper sense","of",4
"a deeper understanding of","a deeper understanding","of",4
"a die hard fan","a die hard","fan",4
"a difference in my","a difference in","my",4
"a different set of","a different set","of",4
"a different way of","a different way","of",4
"a dime a dozen","a dime a","dozen",4
"a direct link to","a direct link","to",4
"a discussion about the","a discussion about","the",4
"a disproportionate number of","a disproportionate number","of",4
"a distance from the","a distance from","the",4
"a diverse group of","a diverse group","of",4
"a doctor in the","a doctor in","the",4
"a double and a","a double and","a",4
"a dozen or more","a dozen or","more",4
"a dream about you","a dream about","you",4
"a drizzle of olive","a drizzle of","olive",4
"a fair number of","a fair number","of",4
"a fair share of","a fair share","of",4
"a family history of","a family history","of",4
"a family member or","a family member","or",4
"a family of five","a family of","five",4
"a fan of people","a fan of","people",4
"a fantastic time at","a fantastic time","at",4
"a federal lawsuit filed","a federal lawsuit","filed",4
"a feel for how","a feel for","how",4
"a feeling ill be","a feeling ill","be",4
"a few areas that","a few areas","that",4
"a few days off","a few days","off",4
"a few dollars more","a few dollars","more",4
"a few hours ago","a few hours","ago",4
"a few hours and","a few hours","and",4
"a few hours this","a few hours","this",4
"a few hours to","a few hours","to",4
"a few miles away","a few miles","away",4
"a few miles to","a few miles","to",4
"a few minutes then","a few minutes","then",4
"a few months to","a few months","to",4
"a few of his","a few of","his",4
"a few of our","a few of","our",4
"a few photos of","a few photos","of",4
"a few pieces of","a few pieces","of",4
"a few reasons why","a few reasons","why",4
"a few short weeks","a few short","weeks",4
"a few short years","a few short","years",4
"a few things but","a few things","but",4
"a few things in","a few things","in",4
"a few things you","a few things","you",4
"a few times that","a few times","that",4
"a few weeks earlier","a few weeks","earlier",4
"a few weeks i","a few weeks","i",4
"a few weeks in","a few weeks","in",4
"a few weeks now","a few weeks","now",4
"a few weeks time","a few weeks","time",4
"a few years before","a few years","before",4
"a few years but","a few years","but",4
"a few years in","a few years","in",4
"a few years it","a few years","it",4
"a field trip to","a field trip","to",4
"a fight with the","a fight with","the",4
"a fire broke out","a fire broke","out",4
"a fire in the","a fire in","the",4
"a firm foundation with","a firm foundation","with",4
"a first down on","a first down","on",4
"a first name basis","a first name","basis",4
"a first time for","a first time","for",4
"a fiveyear million contract","a fiveyear million","contract",4
"a fly on the","a fly on","the",4
"a follow back just","a follow back","just",4
"a food processor and","a food processor","and",4
"a former colleague of","a former colleague","of",4
"a former mayor of","a former mayor","of",4
"a fourgame winning streak","a fourgame winning","streak",4
"a free agent after","a free agent","after",4
"a free pass to","a free pass","to",4
"a freelance writer and","a freelance writer","and",4
"a fresh set of","a fresh set","of",4
"a full range of","a full range","of",4
"a fun project and","a fun project","and",4
"a game for the","a game for","the",4
"a game in the","a game in","the",4
"a game winning streak","a game winning","streak",4
"a general lack of","a general lack","of",4
"a gift card from","a gift card","from",4
"a gift from a","a gift from","a",4
"a girl can dream","a girl can","dream",4
"a girl to do","a girl to","do",4
"a glass of milk","a glass of","milk",4
"a goal and an","a goal and","an",4
"a good day good","a good day","good",4
"a good day if","a good day","if",4
"a good day im","a good day","im",4
"a good day too","a good day","too",4
"a good excuse to","a good excuse","to",4
"a good feeling to","a good feeling","to",4
"a good feeling when","a good feeling","when",4
"a good idea but","a good idea","but",4
"a good idea if","a good idea","if",4
"a good job i","a good job","i",4
"a good meal and","a good meal","and",4
"a good night for","a good night","for",4
"a good night i","a good night","i",4
"a good night the","a good night","the",4
"a good night too","a good night","too",4
"a good one the","a good one","the",4
"a good option for","a good option","for",4
"a good or bad","a good or","bad",4
"a good position to","a good position","to",4
"a good sign for","a good sign","for",4
"a good start and","a good start","and",4
"a good story but","a good story","but",4
"a good thing and","a good thing","and",4
"a good thing in","a good thing","in",4
"a good thing its","a good thing","its",4
"a good thing that","a good thing","that",4
"a good thing you","a good thing","you",4
"a good track record","a good track","record",4
"a good turn out","a good turn","out",4
"a good way of","a good way","of",4
"a good word for","a good word","for",4
"a gorgeous day in","a gorgeous day","in",4
"a grain of sand","a grain of","sand",4
"a graphic designer and","a graphic designer","and",4
"a great cause and","a great cause","and",4
"a great choice for","a great choice","for",4
"a great day im","a great day","im",4
"a great day love","a great day","love",4
"a great day rt","a great day","rt",4
"a great day you","a great day","you",4
"a great dinner and","a great dinner","and",4
"a great gift to","a great gift","to",4
"a great holiday season","a great holiday","season",4
"a great holiday weekend","a great holiday","weekend",4
"a great idea i","a great idea","i",4
"a great job at","a great job","at",4
"a great job on","a great job","on",4
"a great one for","a great one","for",4
"a great piece of","a great piece","of",4
"a great thing for","a great thing","for",4
"a great time it","a great time","it",4
"a great time meeting","a great time","meeting",4
"a great time playing","a great time","playing",4
"a great time the","a great time","the",4
"a great view of","a great view","of",4
"a great week and","a great week","and",4
"a great weekend if","a great weekend","if",4
"a great weekend what","a great weekend","what",4
"a great weekend you","a great weekend","you",4
"a greater number of","a greater number","of",4
"a greater percentage of","a greater percentage","of",4
"a grilled cheese sandwich","a grilled cheese","sandwich",4
"a group called the","a group called","the",4
"a group of guys","a group of","guys",4
"a group of local","a group of","local",4
"a guest spot on","a guest spot","on",4
"a guy in the","a guy in","the",4
"a guy who can","a guy who","can",4
"a guy who likes","a guy who","likes",4
"a guy who was","a guy who","was",4
"a guy with no","a guy with","no",4
"a half hours of","a half hours","of",4
"a half of the","a half of","the",4
"a half years ago","a half years","ago",4
"a hall of famer","a hall of","famer",4
"a handful of the","a handful of","the",4
"a handle on things","a handle on","things",4
"a happy birthday from","a happy birthday","from",4
"a happy th birthday","a happy th","birthday",4
"a hard thing to","a hard thing","to",4
"a hard time i","a hard time","i",4
"a hard time not","a hard time","not",4
"a headache and i","a headache and","i",4
"a heart attack i","a heart attack","i",4
"a heart attack in","a heart attack","in",4
"a heart attack on","a heart attack","on",4
"a heavy dose of","a heavy dose","of",4
"a high degree of","a high degree","of",4
"a high school senior","a high school","senior",4
"a high school teacher","a high school","teacher",4
"a higher risk of","a higher risk","of",4
"a hit at the","a hit at","the",4
"a hole in his","a hole in","his",4
"a home for the","a home for","the",4
"a hotel room in","a hotel room","in",4
"a house is not","a house is","not",4
"a huge difference between","a huge difference","between",4
"a huge part in","a huge part","in",4
"a huge sigh of","a huge sigh","of",4
"a huge step in","a huge step","in",4
"a huge success and","a huge success","and",4
"a hundred years ago","a hundred years","ago",4
"a i dont think","a i dont","think",4
"a job at a","a job at","a",4
"a joint venture with","a joint venture","with",4
"a joy to watch","a joy to","watch",4
"a joy to work","a joy to","work",4
"a key element in","a key element","in",4
"a kid i was","a kid i","was",4
"a kid who is","a kid who","is",4
"a kiss on the","a kiss on","the",4
"a lady think like","a lady think","like",4
"a large baking sheet","a large baking","sheet",4
"a large bowl and","a large bowl","and",4
"a large saucepan over","a large saucepan","over",4
"a large stock pot","a large stock","pot",4
"a larger share of","a larger share","of",4
"a laundry list of","a laundry list","of",4
"a law enforcement officer","a law enforcement","officer",4
"a law that was","a law that","was",4
"a lawsuit against the","a lawsuit against","the",4
"a lawsuit filed by","a lawsuit filed","by",4
"a lead after the","a lead after","the",4
"a lead into the","a lead into","the",4
"a leave of absence","a leave of","absence",4
"a left wing talking","a left wing","talking",4
"a letter from the","a letter from","the",4
"a letter to his","a letter to","his",4
"a license plate that","a license plate","that",4
"a life expectancy of","a life expectancy","of",4
"a life filled with","a life filled","with",4
"a life full of","a life full","of",4
"a list of questions","a list of","questions",4
"a little after pm","a little after","pm",4
"a little background on","a little background","on",4
"a little better i","a little better","i",4
"a little bit not","a little bit","not",4
"a little bit on","a little bit","on",4
"a little bit quicker","a little bit","quicker",4
"a little bit so","a little bit","so",4
"a little bit the","a little bit","the",4
"a little bit when","a little bit","when",4
"a little break from","a little break","from",4
"a little different than","a little different","than",4
"a little disappointed that","a little disappointed","that",4
"a little earlier than","a little earlier","than",4
"a little faster i","a little faster","i",4
"a little girl who","a little girl","who",4
"a little late but","a little late","but",4
"a little late to","a little late","to",4
"a little more but","a little more","but",4
"a little more difficult","a little more","difficult",4
"a little more in","a little more","in",4
"a little of that","a little of","that",4
"a little off the","a little off","the",4
"a little olive oil","a little olive","oil",4
"a little over two","a little over","two",4
"a little piece of","a little piece","of",4
"a little pissed off","a little pissed","off",4
"a little prayer for","a little prayer","for",4
"a little something about","a little something","about",4
"a little taste of","a little taste","of",4
"a little time off","a little time","off",4
"a little too far","a little too","far",4
"a little trip to","a little trip","to",4
"a living as a","a living as","a",4
"a living selfeducation will","a living selfeducation","will",4
"a loaf of bread","a loaf of","bread",4
"a long time because","a long time","because",4
"a long time before","a long time","before",4
"a long time ive","a long time","ive",4
"a long time said","a long time","said",4
"a long time she","a long time","she",4
"a long time you","a long time","you",4
"a long way towards","a long way","towards",4
"a look at our","a look at","our",4
"a look at this","a look at","this",4
"a look at what","a look at","what",4
"a lot about how","a lot about","how",4
"a lot because it","a lot because","it",4
"a lot because of","a lot because","of",4
"a lot better now","a lot better","now",4
"a lot for the","a lot for","the",4
"a lot from this","a lot from","this",4
"a lot harder than","a lot harder","than",4
"a lot he said","a lot he","said",4
"a lot longer than","a lot longer","than",4
"a lot more difficult","a lot more","difficult",4
"a lot more people","a lot more","people",4
"a lot more things","a lot more","things",4
"a lot of activity","a lot of","activity",4
"a lot of blood","a lot of","blood",4
"a lot of buzz","a lot of","buzz",4
"a lot of calls","a lot of","calls",4
"a lot of cases","a lot of","cases",4
"a lot of chances","a lot of","chances",4
"a lot of changes","a lot of","changes",4
"a lot of character","a lot of","character",4
"a lot of discussion","a lot of","discussion",4
"a lot of fans","a lot of","fans",4
"a lot of football","a lot of","football",4
"a lot of ground","a lot of","ground",4
"a lot of help","a lot of","help",4
"a lot of his","a lot of","his",4
"a lot of ideas","a lot of","ideas",4
"a lot of issues","a lot of","issues",4
"a lot of movies","a lot of","movies",4
"a lot of opportunities","a lot of","opportunities",4
"a lot of options","a lot of","options",4
"a lot of power","a lot of","power",4
"a lot of progress","a lot of","progress",4
"a lot of reading","a lot of","reading",4
"a lot of stress","a lot of","stress",4
"a lot of students","a lot of","students",4
"a lot of thinking","a lot of","thinking",4
"a lot of traffic","a lot of","traffic",4
"a lot of ups","a lot of","ups",4
"a lot of very","a lot of","very",4
"a lot on my","a lot on","my",4
"a lot so i","a lot so","i",4
"a lot to offer","a lot to","offer",4
"a major cause of","a major cause","of",4
"a major factor in","a major factor","in",4
"a major player in","a major player","in",4
"a major source of","a major source","of",4
"a majority of new","a majority of","new",4
"a man can do","a man can","do",4
"a man on a","a man on","a",4
"a man or woman","a man or","woman",4
"a man wearing a","a man wearing","a",4
"a man who can","a man who","can",4
"a manner that is","a manner that","is",4
"a manner which is","a manner which","is",4
"a marathon not a","a marathon not","a",4
"a massive heart attack","a massive heart","attack",4
"a massive thank you","a massive thank","you",4
"a match made in","a match made","in",4
"a matter of seconds","a matter of","seconds",4
"a maximum of four","a maximum of","four",4
"a means to get","a means to","get",4
"a medium bowl mix","a medium bowl","mix",4
"a medium bowl whisk","a medium bowl","whisk",4
"a mega millions ticket","a mega millions","ticket",4
"a member of congress","a member of","congress",4
"a member of this","a member of","this",4
"a mental image of","a mental image","of",4
"a message to the","a message to","the",4
"a million increase in","a million increase","in",4
"a million miles away","a million miles","away",4
"a minimum of five","a minimum of","five",4
"a minute or so","a minute or","so",4
"a mismatch between the","a mismatch between","the",4
"a mission to get","a mission to","get",4
"a mixed blessing for","a mixed blessing","for",4
"a modest increase in","a modest increase","in",4
"a month after the","a month after","the",4
"a month ago a","a month ago","a",4
"a month or more","a month or","more",4
"a mother of three","a mother of","three",4
"a mothers day card","a mothers day","card",4
"a mothers day gift","a mothers day","gift",4
"a mouth full of","a mouth full","of",4
"a movie in the","a movie in","the",4
"a movie like this","a movie like","this",4
"a movie with my","a movie with","my",4
"a much better place","a much better","place",4
"a must read for","a must read","for",4
"a nap in the","a nap in","the",4
"a new book on","a new book","on",4
"a new book out","a new book","out",4
"a new chapter in","a new chapter","in",4
"a new day i","a new day","i",4
"a new idea never","a new idea","never",4
"a new job as","a new job","as",4
"a new job in","a new job","in",4
"a new one today","a new one","today",4
"a new operating system","a new operating","system",4
"a new package of","a new package","of",4
"a new phone and","a new phone","and",4
"a new reality show","a new reality","show",4
"a new york post","a new york","post",4
"a newly married couple","a newly married","couple",4
"a news conference that","a news conference","that",4
"a news story about","a news story","about",4
"a nice day you","a nice day","you",4
"a nice glass of","a nice glass","of",4
"a nice guy and","a nice guy","and",4
"a nice ring to","a nice ring","to",4
"a night in jail","a night in","jail",4
"a night in the","a night in","the",4
"a night on the","a night on","the",4
"a nohitter into the","a nohitter into","the",4
"a note on the","a note on","the",4
"a number of my","a number of","my",4
"a number of national","a number of","national",4
"a number of problems","a number of","problems",4
"a one of a","a one of","a",4
"a page or two","a page or","two",4
"a pair of socks","a pair of","socks",4
"a part in the","a part in","the",4
"a part of him","a part of","him",4
"a part of life","a part of","life",4
"a part of one","a part of","one",4
"a part time job","a part time","job",4
"a passing resemblance to","a passing resemblance","to",4
"a percent decline in","a percent decline","in",4
"a percent increase for","a percent increase","for",4
"a percent increase over","a percent increase","over",4
"a percent to percent","a percent to","percent",4
"a perfect place to","a perfect place","to",4
"a perfect storm of","a perfect storm","of",4
"a period of years","a period of","years",4
"a permit from the","a permit from","the",4
"a person or a","a person or","a",4
"a person who has","a person who","has",4
"a person who wants","a person who","wants",4
"a phone call and","a phone call","and",4
"a phone call or","a phone call","or",4
"a phone call to","a phone call","to",4
"a phone interview from","a phone interview","from",4
"a photo of my","a photo of","my",4
"a photograph of the","a photograph of","the",4
"a pic of her","a pic of","her",4
"a picture is worth","a picture is","worth",4
"a picture of his","a picture of","his",4
"a picture of myself","a picture of","myself",4
"a picture of their","a picture of","their",4
"a picture of this","a picture of","this",4
"a picture of you","a picture of","you",4
"a piece of a","a piece of","a",4
"a piece of cloth","a piece of","cloth",4
"a place for the","a place for","the",4
"a place like this","a place like","this",4
"a place to buy","a place to","buy",4
"a place to eat","a place to","eat",4
"a place to put","a place to","put",4
"a place where everyone","a place where","everyone",4
"a place where they","a place where","they",4
"a place where we","a place where","we",4
"a plan that will","a plan that","will",4
"a plan that would","a plan that","would",4
"a point of contention","a point of","contention",4
"a point where i","a point where","i",4
"a point where the","a point where","the",4
"a point where we","a point where","we",4
"a police officer in","a police officer","in",4
"a police officer who","a police officer","who",4
"a political action committee","a political action","committee",4
"a political scientist at","a political scientist","at",4
"a position to do","a position to","do",4
"a position to win","a position to","win",4
"a positive impact on","a positive impact","on",4
"a powerful tool for","a powerful tool","for",4
"a press conference at","a press conference","at",4
"a pretty good day","a pretty good","day",4
"a private island full","a private island","full",4
"a problem in a","a problem in","a",4
"a problem with me","a problem with","me",4
"a product that is","a product that","is",4
"a professor of economics","a professor of","economics",4
"a profound effect on","a profound effect","on",4
"a program on the","a program on","the",4
"a program that has","a program that","has",4
"a public hearing at","a public hearing","at",4
"a question of whether","a question of","whether",4
"a quick post to","a quick post","to",4
"a quinnipiac university poll","a quinnipiac university","poll",4
"a quote from a","a quote from","a",4
"a raisin in the","a raisin in","the",4
"a reaction to the","a reaction to","the",4
"a reality tv show","a reality tv","show",4
"a really good song","a really good","song",4
"a really great time","a really great","time",4
"a reason for me","a reason for","me",4
"a reason to go","a reason to","go",4
"a reason to keep","a reason to","keep",4
"a reason why i","a reason why","i",4
"a reasonable doubt that","a reasonable doubt","that",4
"a recent report by","a recent report","by",4
"a recent survey by","a recent survey","by",4
"a recipient of the","a recipient of","the",4
"a record billion in","a record billion","in",4
"a reference to a","a reference to","a",4
"a reflection of who","a reflection of","who",4
"a regular reader of","a regular reader","of",4
"a relationship with a","a relationship with","a",4
"a relatively small number","a relatively small","number",4
"a release from the","a release from","the",4
"a replica of the","a replica of","the",4
"a request for a","a request for","a",4
"a result of an","a result of","an",4
"a result of my","a result of","my",4
"a result of which","a result of","which",4
"a ridiculous amount of","a ridiculous amount","of",4
"a rimmed baking sheet","a rimmed baking","sheet",4
"a rock star i","a rock star","i",4
"a role model and","a role model","and",4
"a role to play","a role to","play",4
"a run on the","a run on","the",4
"a rundown of the","a rundown of","the",4
"a sad sad day","a sad sad","day",4
"a safe and secure","a safe and","secure",4
"a safe place to","a safe place","to",4
"a safe trip back","a safe trip","back",4
"a school that has","a school that","has",4
"a second look at","a second look","at",4
"a second round of","a second round","of",4
"a secret service agent","a secret service","agent",4
"a section of a","a section of","a",4
"a segment of the","a segment of","the",4
"a select group of","a select group","of",4
"a senior police officer","a senior police","officer",4
"a senior vice president","a senior vice","president",4
"a sense of calm","a sense of","calm",4
"a sense of community","a sense of","community",4
"a sense of how","a sense of","how",4
"a sense of place","a sense of","place",4
"a sense of pride","a sense of","pride",4
"a series of emails","a series of","emails",4
"a series of new","a series of","new",4
"a series of public","a series of","public",4
"a series of questions","a series of","questions",4
"a series of tweets","a series of","tweets",4
"a series of unfortunate","a series of","unfortunate",4
"a serious problem with","a serious problem","with",4
"a settlement with the","a settlement with","the",4
"a shadow of its","a shadow of","its",4
"a sheriff to make","a sheriff to","make",4
"a short walk to","a short walk","to",4
"a shot from the","a shot from","the",4
"a sign of weakness","a sign of","weakness",4
"a sign on the","a sign on","the",4
"a sign that i","a sign that","i",4
"a signed copy of","a signed copy","of",4
"a significant amount of","a significant amount","of",4
"a significant increase in","a significant increase","in",4
"a simmer and cook","a simmer and","cook",4
"a single mom to","a single mom","to",4
"a single one of","a single one","of",4
"a single piece of","a single piece","of",4
"a situation in which","a situation in","which",4
"a situation that is","a situation that","is",4
"a situation where he","a situation where","he",4
"a slice of pizza","a slice of","pizza",4
"a slotted spoon and","a slotted spoon","and",4
"a small piece of","a small piece","of",4
"a small price to","a small price","to",4
"a small selection of","a small selection","of",4
"a small slice of","a small slice","of",4
"a small taste of","a small taste","of",4
"a smile to my","a smile to","my",4
"a son of a","a son of","a",4
"a source of inspiration","a source of","inspiration",4
"a special day for","a special day","for",4
"a special edition of","a special edition","of",4
"a special session to","a special session","to",4
"a spokesman with the","a spokesman with","the",4
"a spokesperson for the","a spokesperson for","the",4
"a sponsor of the","a sponsor of","the",4
"a sport utility vehicle","a sport utility","vehicle",4
"a standing ovation when","a standing ovation","when",4
"a staple of the","a staple of","the",4
"a state of shock","a state of","shock",4
"a state senate committee","a state senate","committee",4
"a statement saying the","a statement saying","the",4
"a stayathome mom and","a stayathome mom","and",4
"a stepping stone to","a stepping stone","to",4
"a stir in the","a stir in","the",4
"a strong emphasis on","a strong emphasis","on",4
"a strong indicator of","a strong indicator","of",4
"a strong majority of","a strong majority","of",4
"a strong sense of","a strong sense","of",4
"a subscription to the","a subscription to","the",4
"a substitute for the","a substitute for","the",4
"a successful man is","a successful man","is",4
"a summary of the","a summary of","the",4
"a super bowl and","a super bowl","and",4
"a survey by the","a survey by","the",4
"a sweep of the","a sweep of","the",4
"a swiss bank account","a swiss bank","account",4
"a taste of what","a taste of","what",4
"a team and we","a team and","we",4
"a team that had","a team that","had",4
"a tear to my","a tear to","my",4
"a test for the","a test for","the",4
"a text from me","a text from","me",4
"a theft was reported","a theft was","reported",4
"a thing of beauty","a thing of","beauty",4
"a third of a","a third of","a",4
"a thorough review of","a thorough review","of",4
"a threerun home run","a threerun home","run",4
"a tie for th","a tie for","th",4
"a time and place","a time and","place",4
"a time or two","a time or","two",4
"a time to be","a time to","be",4
"a time when people","a time when","people",4
"a tinychat with me","a tinychat with","me",4
"a to z challenge","a to z","challenge",4
"a ton of other","a ton of","other",4
"a ton of people","a ton of","people",4
"a toothpick inserted in","a toothpick inserted","in",4
"a top ten list","a top ten","list",4
"a topic of discussion","a topic of","discussion",4
"a total of billion","a total of","billion",4
"a total of four","a total of","four",4
"a total of in","a total of","in",4
"a total of three","a total of","three",4
"a touch of the","a touch of","the",4
"a tough way to","a tough way","to",4
"a town that has","a town that","has",4
"a treasure trove of","a treasure trove","of",4
"a treat for you","a treat for","you",4
"a trip back to","a trip back","to",4
"a true freshman in","a true freshman","in",4
"a tv show and","a tv show","and",4
"a two year old","a two year","old",4
"a tworun home run","a tworun home","run",4
"a vague idea of","a vague idea","of",4
"a variety of forms","a variety of","forms",4
"a variety of projects","a variety of","projects",4
"a vehicle theft was","a vehicle theft","was",4
"a very difficult time","a very difficult","time",4
"a very good idea","a very good","idea",4
"a victory in the","a victory in","the",4
"a village to raise","a village to","raise",4
"a voice of reason","a voice of","reason",4
"a volunteer with the","a volunteer with","the",4
"a vote of to","a vote of","to",4
"a vote on a","a vote on","a",4
"a waiver from the","a waiver from","the",4
"a wake up call","a wake up","call",4
"a walk on the","a walk on","the",4
"a washington think tank","a washington think","tank",4
"a waste of money","a waste of","money",4
"a waste of space","a waste of","space",4
"a way for the","a way for","the",4
"a way i can","a way i","can",4
"a way of getting","a way of","getting",4
"a way that makes","a way that","makes",4
"a way that will","a way that","will",4
"a way to continue","a way to","continue",4
"a way to see","a way to","see",4
"a way to start","a way to","start",4
"a week ago and","a week ago","and",4
"a week away from","a week away","from",4
"a week into the","a week into","the",4
"a week now and","a week now","and",4
"a week to get","a week to","get",4
"a week when i","a week when","i",4
"a welldeveloped sense of","a welldeveloped sense","of",4
"a while back i","a while back","i",4
"a while before i","a while before","i",4
"a while but im","a while but","im",4
"a while he said","a while he","said",4
"a while i am","a while i","am",4
"a while i like","a while i","like",4
"a while in the","a while in","the",4
"a while now but","a while now","but",4
"a while since the","a while since","the",4
"a while to see","a while to","see",4
"a whole lot to","a whole lot","to",4
"a whole new world","a whole new","world",4
"a wide spectrum of","a wide spectrum","of",4
"a wife and mother","a wife and","mother",4
"a win in the","a win in","the",4
"a wish and have","a wish and","have",4
"a wish make a","a wish make","a",4
"a woman in her","a woman in","her",4
